"","description"
"2.5.1.96","4,4'-diapophytoene synthase"
"2.5.1.97","Pseudaminic acid synthase"
"2.5.1.98","transferase"
"2.5.1.99","Deleted entry"
"2.6.1.1","Aspartate transaminase"
"2.6.1.102","GDP-perosamine synthase"
"2.6.1.103","(S)-3,5-dihydroxyphenylglycine transaminase"
"2.6.1.104","3-dehydro-glucose-6-phosphate--glutamate transaminase"
"2.6.1.105","Lysine--8-amino-7-oxononanoate transaminase"
"2.6.1.106","dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase"
"2.6.1.108","(5-formylfuran-3-yl)methyl phosphate transaminase"
"2.6.1.109","8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase"
"2.6.1.11","Acetylornithine transaminase"
"2.6.1.111","3-aminobutanoyl-CoA transaminase"
"2.6.1.112","(S)-ureidoglycine--glyoxylate transaminase"
"2.6.1.113","Putrescine--pyruvate transaminase"
"2.6.1.13","Ornithine aminotransferase"
"2.6.1.14","Asparagine--oxo-acid transaminase"
"2.6.1.16","Glutamine--fructose-6-phosphate transaminase (isomerizing)"
"2.6.1.17","Succinyldiaminopimelate transaminase"
"2.6.1.18","Beta-alanine--pyruvate transaminase"
"2.6.1.19","4-aminobutyrate--2-oxoglutarate transaminase"
"2.6.1.2","Alanine transaminase"
"2.6.1.21","D-amino-acid transaminase"
"2.6.1.22","(S)-3-amino-2-methylpropionate transaminase"
"2.6.1.30","Pyridoxamine--pyruvate transaminase"
"2.6.1.33","dTDP-4-amino-4,6-dideoxy-D-glucose transaminase"
"2.6.1.34","UDP-N-acetylbacillosamine transaminase"
"2.6.1.36","L-lysine 6-transaminase"
"2.6.1.37","2-aminoethylphosphonate--pyruvate transaminase"
"2.6.1.42","Branched-chain-amino-acid transaminase"
"2.6.1.44","Alanine--glyoxylate transaminase"
"2.6.1.45","Serine--glyoxylate transaminase"
"2.6.1.48","5-aminovalerate transaminase"
"2.6.1.51","Serine--pyruvate transaminase"
"2.6.1.52","Phosphoserine transaminase"
"2.6.1.55","Taurine--2-oxoglutarate transaminase"
"2.6.1.57","Aromatic-amino-acid transaminase"
"2.6.1.59","dTDP-4-amino-4,6-dideoxygalactose transaminase"
"2.6.1.62","Adenosylmethionine--8-amino-7-oxononanoate transaminase"
"2.6.1.66","Valine--pyruvate transaminase"
"2.6.1.76","Diaminobutyrate--2-oxoglutarate transaminase"
"2.6.1.77","Taurine--pyruvate aminotransferase"
"2.6.1.81","Succinylornithine transaminase"
"2.6.1.82","Putrescine--2-oxoglutarate transaminase"
"2.6.1.83","LL-diaminopimelate aminotransferase"
"2.6.1.84","Arginine--pyruvate transaminase"
"2.6.1.85","Aminodeoxychorismate synthase"
"2.6.1.86","2-amino-4-deoxychorismate synthase"
"2.6.1.87","UDP-4-amino-4-deoxy-L-arabinose aminotransferase"
"2.6.1.88","Methionine transaminase"
"2.6.1.9","Histidinol-phosphate transaminase"
"2.6.1.92","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase"
"2.6.1.96","4-aminobutyrate--pyruvate transaminase"
"2.6.1.97","Archaeosine synthase"
"2.6.1.98","UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase"
"2.6.99.2","Pyridoxine 5'-phosphate synthase"
"2.7.1.1","Hexokinase"
"2.7.1.100","S-methyl-5-thioribose kinase"
"2.7.1.101","Tagatose kinase"
"2.7.1.107","Diacylglycerol kinase (ATP)"
"2.7.1.11","6-phosphofructokinase"
"2.7.1.113","Deoxyguanosine kinase"
"2.7.1.119","Hygromycin-B 7''-O-kinase"
"2.7.1.12","Gluconokinase"
"2.7.1.121","Phosphoenolpyruvate--glycerone phosphotransferase"
"2.7.1.13","Dehydrogluconokinase"
"2.7.1.130","Tetraacyldisaccharide 4'-kinase"
"2.7.1.134","Inositol-tetrakisphosphate 1-kinase"
"2.7.1.14","Sedoheptulokinase"
"2.7.1.144","Tagatose-6-phosphate kinase"
"2.7.1.146","ADP-specific phosphofructokinase"
"2.7.1.147","ADP-specific glucokinase"
"2.7.1.148","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase"
"2.7.1.15","Ribokinase"
"2.7.1.156","Adenosylcobinamide kinase"
"2.7.1.157","N-acetylgalactosamine kinase"
"2.7.1.159","Inositol-1,3,4-trisphosphate 5/6-kinase"
"2.7.1.16","Ribulokinase"
"2.7.1.160","2'-phosphotransferase"
"2.7.1.161","CTP-dependent riboflavin kinase"
"2.7.1.162","N-acetylhexosamine 1-kinase"
"2.7.1.163","Hygromycin B 4-O-kinase"
"2.7.1.164","O-phosphoseryl-tRNA(Sec) kinase"
"2.7.1.165","Glycerate 2-kinase"
"2.7.1.166","3-deoxy-D-manno-octulosonic acid kinase"
"2.7.1.167","D-glycero-beta-D-manno-heptose-7-phosphate kinase"
"2.7.1.168","D-glycero-alpha-D-manno-heptose-7-phosphate kinase"
"2.7.1.169","Pantoate kinase"
"2.7.1.17","Xylulokinase"
"2.7.1.170","Anhydro-N-acetylmuramic acid kinase"
"2.7.1.174","Diacylglycerol kinase (CTP)"
"2.7.1.175","Maltokinase"
"2.7.1.176","UDP-N-acetylglucosamine kinase"
"2.7.1.177","L-threonine kinase"
"2.7.1.180","FAD:protein FMN transferase"
"2.7.1.181","Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase"
"2.7.1.182","Phytol kinase"
"2.7.1.184","Sulfofructose kinase"
"2.7.1.185","Mevalonate 3-kinase"
"2.7.1.187","Acarbose 7(IV)-phosphotransferase"
"2.7.1.188","2-epi-5-epi-valiolone 7-kinase"
"2.7.1.189","Autoinducer-2 kinase"
"2.7.1.19","Phosphoribulokinase"
"2.7.1.190","Aminoglycoside 2''-phosphotransferase"
"2.7.1.191","Protein-N(pi)-phosphohistidine--D-mannose phosphotransferase"
"2.7.1.192","Protein-N(pi)-phosphohistidine--N-acetylmuramate phosphotransferase"
"2.7.1.193","phosphotransferase"
"2.7.1.194","Protein-N(pi)-phosphohistidine--L-ascorbate phosphotransferase"
"2.7.1.195","phosphotransferase"
"2.7.1.196","phosphotransferase"
"2.7.1.197","Protein-N(pi)-phosphohistidine--D-mannitol phosphotransferase"
"2.7.1.198","Protein-N(pi)-phosphohistidine--D-sorbitol phosphotransferase"
"2.7.1.199","Protein-N(pi)-phosphohistidine--D-glucose phosphotransferase"
"2.7.1.2","Glucokinase"
"2.7.1.20","Adenosine kinase"
"2.7.1.200","Protein-N(pi)-phosphohistidine--galactitol phosphotransferase"
"2.7.1.201","Protein-N(pi)-phosphohistidine--trehalose phosphotransferase"
"2.7.1.202","Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase"
"2.7.1.203","Protein-N(pi)-phosphohistidine--D-glucosaminate phosphotransferase"
"2.7.1.204","Protein-N(pi)-phosphohistidine--D-galactose phosphotransferase"
"2.7.1.205","Protein-N(pi)-phosphohistidine--D-cellobiose phosphotransferase"
"2.7.1.206","Protein-N(pi)-phosphohistidine--L-sorbose phosphotransferase"
"2.7.1.207","Protein-N(pi)-phosphohistidine--lactose phosphotransferase"
"2.7.1.208","Protein-N(pi)-phosphohistidine--maltose phosphotransferase"
"2.7.1.209","L-erythrulose 1-kinase"
"2.7.1.21","Thymidine kinase"
"2.7.1.211","Protein-N(pi)-phosphohistidine--sucrose phosphotransferase"
"2.7.1.213","Cytidine kinase"
"2.7.1.214","C(7)-cyclitol 7-kinase"
"2.7.1.215","Erythritol kinase (D-erythritol 1-phosphate-forming)"
"2.7.1.216","Farnesol kinase"
"2.7.1.217","3-dehydrotetronate 4-kinase"
"2.7.1.218","Fructoselysine 6-kinase"
"2.7.1.219","D-threonate 4-kinase"
"2.7.1.22","Ribosylnicotinamide kinase"
"2.7.1.220","D-erythronate 4-kinase"
"2.7.1.221","N-acetylmuramate 1-kinase"
"2.7.1.23","NAD(+) kinase"
"2.7.1.24","Dephospho-CoA kinase"
"2.7.1.25","Adenylyl-sulfate kinase"
"2.7.1.26","Riboflavin kinase"
"2.7.1.28","Triokinase"
"2.7.1.29","Glycerone kinase"
"2.7.1.3","Ketohexokinase"
"2.7.1.30","Glycerol kinase"
"2.7.1.31","Glycerate 3-kinase"
"2.7.1.32","Choline kinase"
"2.7.1.33","Pantothenate kinase"
"2.7.1.35","Pyridoxal kinase"
"2.7.1.36","Mevalonate kinase"
"2.7.1.37","2.7.11.30 and 2.7.12.1"
"2.7.1.39","Homoserine kinase"
"2.7.1.4","Fructokinase"
"2.7.1.40","Pyruvate kinase"
"2.7.1.43","Glucuronokinase"
"2.7.1.44","Galacturonokinase"
"2.7.1.45","2-dehydro-3-deoxygluconokinase"
"2.7.1.46","L-arabinokinase"
"2.7.1.47","D-ribulokinase"
"2.7.1.48","Uridine kinase"
"2.7.1.49","Hydroxymethylpyrimidine kinase"
"2.7.1.5","Rhamnulokinase"
"2.7.1.50","Hydroxyethylthiazole kinase"
"2.7.1.51","L-fuculokinase"
"2.7.1.52","Fucokinase"
"2.7.1.53","L-xylulokinase"
"2.7.1.55","Allose kinase"
"2.7.1.56","1-phosphofructokinase"
"2.7.1.58","2-dehydro-3-deoxygalactonokinase"
"2.7.1.59","N-acetylglucosamine kinase"
"2.7.1.6","Galactokinase"
"2.7.1.60","N-acylmannosamine kinase"
"2.7.1.63","Polyphosphate--glucose phosphotransferase"
"2.7.1.64","Inositol 3-kinase"
"2.7.1.66","Undecaprenol kinase"
"2.7.1.71","Shikimate kinase"
"2.7.1.72","Streptomycin 6-kinase"
"2.7.1.73","Inosine kinase"
"2.7.1.74","Deoxycytidine kinase"
"2.7.1.76","Deoxyadenosine kinase"
"2.7.1.78","Polynucleotide 5'-hydroxyl-kinase"
"2.7.1.8","Glucosamine kinase"
"2.7.1.82","Ethanolamine kinase"
"2.7.1.83","Pseudouridine kinase"
"2.7.1.85","Beta-glucoside kinase"
"2.7.1.87","Streptomycin 3''-kinase"
"2.7.1.89","Thiamine kinase"
"2.7.1.90","Diphosphate--fructose-6-phosphate 1-phosphotransferase"
"2.7.1.91","Sphingosine kinase"
"2.7.1.92","5-dehydro-2-deoxygluconokinase"
"2.7.1.95","Kanamycin kinase"
"2.7.10.1","Receptor protein-tyrosine kinase"
"2.7.10.2","Non-specific protein-tyrosine kinase"
"2.7.11.1","Non-specific serine/threonine protein kinase"
"2.7.11.17","Calcium/calmodulin-dependent protein kinase"
"2.7.11.18","[Myosin light-chain] kinase"
"2.7.11.22","Cyclin-dependent kinase"
"2.7.11.33","[Pyruvate, water dikinase] kinase"
"2.7.11.5","[Isocitrate dehydrogenase (NADP(+))] kinase"
"2.7.13.1","Protein-histidine pros-kinase"
"2.7.13.3","Histidine kinase"
"2.7.14.1","Protein arginine kinase"
"2.7.2.1","Acetate kinase"
"2.7.2.11","Glutamate 5-kinase"
"2.7.2.15","Propionate kinase"
"2.7.2.2","Carbamate kinase"
"2.7.2.3","Phosphoglycerate kinase"
"2.7.2.4","Aspartate kinase"
"2.7.2.7","Butyrate kinase"
"2.7.2.8","Acetylglutamate kinase"
"2.7.3.13","Glutamine kinase"
"2.7.3.2","Creatine kinase"
"2.7.3.3","Arginine kinase"
"2.7.3.9","Phosphoenolpyruvate--protein phosphotransferase"
"2.7.4.1","Polyphosphate kinase"
"2.7.4.16","Thiamine-phosphate kinase"
"2.7.4.2","Phosphomevalonate kinase"
"2.7.4.22","UMP kinase"
"2.7.4.23","Ribose 1,5-bisphosphate phosphokinase"
"2.7.4.25","(d)CMP kinase"
"2.7.4.26","Isopentenyl phosphate kinase"
"2.7.4.28","([Pyruvate, water dikinase] phosphate) phosphotransferase"
"2.7.4.29","Kdo(2)-lipid A phosphotransferase"
"2.7.4.3","Adenylate kinase"
"2.7.4.31","(5-(aminomethyl)furan-3-yl)methyl phosphate kinase"
"2.7.4.6","Nucleoside-diphosphate kinase"
"2.7.4.7","Phosphooxymethylpyrimidine kinase"
"2.7.4.8","Guanylate kinase"
"2.7.4.9","dTMP kinase"
"2.7.6.1","Ribose-phosphate diphosphokinase"
"2.7.6.2","Thiamine diphosphokinase"
"2.7.6.3","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"
"2.7.6.5","GTP diphosphokinase"
"2.7.7.1","Nicotinamide-nucleotide adenylyltransferase"
"2.7.7.12","UDP-glucose--hexose-1-phosphate uridylyltransferase"
"2.7.7.13","Mannose-1-phosphate guanylyltransferase"
"2.7.7.15","Choline-phosphate cytidylyltransferase"
"2.7.7.18","Nicotinate-nucleotide adenylyltransferase"
"2.7.7.19","Polynucleotide adenylyltransferase"
"2.7.7.2","FAD synthase"
"2.7.7.23","UDP-N-acetylglucosamine diphosphorylase"
"2.7.7.24","Glucose-1-phosphate thymidylyltransferase"
"2.7.7.27","Glucose-1-phosphate adenylyltransferase"
"2.7.7.3","Pantetheine-phosphate adenylyltransferase"
"2.7.7.33","Glucose-1-phosphate cytidylyltransferase"
"2.7.7.38","3-deoxy-manno-octulosonate cytidylyltransferase"
"2.7.7.39","Glycerol-3-phosphate cytidylyltransferase"
"2.7.7.4","Sulfate adenylyltransferase"
"2.7.7.40","D-ribitol-5-phosphate cytidylyltransferase"
"2.7.7.41","Phosphatidate cytidylyltransferase"
"2.7.7.42","[Glutamine synthetase] adenylyltransferase"
"2.7.7.43","N-acylneuraminate cytidylyltransferase"
"2.7.7.47","Streptomycin 3''-adenylyltransferase"
"2.7.7.49","RNA-directed DNA polymerase"
"2.7.7.53","ATP adenylyltransferase"
"2.7.7.56","tRNA nucleotidyltransferase"
"2.7.7.58","(2,3-dihydroxybenzoyl)adenylate synthase"
"2.7.7.59","[Protein-PII] uridylyltransferase"
"2.7.7.6","DNA-directed RNA polymerase"
"2.7.7.60","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"2.7.7.61","Citrate lyase holo-[acyl-carrier protein] synthase"
"2.7.7.62","Adenosylcobinamide-phosphate guanylyltransferase"
"2.7.7.64","UTP-monosaccharide-1-phosphate uridylyltransferase"
"2.7.7.65","Diguanylate cyclase"
"2.7.7.66","Malonate decarboxylase holo-[acyl-carrier protein] synthase"
"2.7.7.67","CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase"
"2.7.7.68","Phosphoenolpyruvate guanylyltransferase"
"2.7.7.7","DNA-directed DNA polymerase"
"2.7.7.70","D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase"
"2.7.7.71","D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase"
"2.7.7.72","CCA tRNA nucleotidyltransferase"
"2.7.7.73","Sulfur carrier protein ThiS adenylyltransferase"
"2.7.7.74","1L-myo-inositol 1-phosphate cytidylyltransferase"
"2.7.7.75","Molybdopterin adenylyltransferase"
"2.7.7.76","Molybdenum cofactor cytidylyltransferase"
"2.7.7.77","Molybdenum cofactor guanylyltransferase"
"2.7.7.8","Polyribonucleotide nucleotidyltransferase"
"2.7.7.80","Molybdopterin-synthase adenylyltransferase"
"2.7.7.81","Pseudaminic acid cytidylyltransferase"
"2.7.7.82","CMP-N,N'-diacetyllegionaminic acid synthase"
"2.7.7.83","UDP-N-acetylgalactosamine diphosphorylase"
"2.7.7.85","Diadenylate cyclase"
"2.7.7.87","L-threonylcarbamoyladenylate synthase"
"2.7.7.89","[Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase"
"2.7.7.9","UTP--glucose-1-phosphate uridylyltransferase"
"2.7.7.91","Valienol-1-phosphate guanylyltransferase"
"2.7.7.92","3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase"
"2.7.7.95","Transferred entry 6.2.1.49"
"2.7.7.96","ADP-D-ribose pyrophosphorylase"
"2.7.7.97","3-hydroxy-4-methylanthranilate adenylyltransferase"
"2.7.7.99","N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase"
"2.7.8.11","CDP-diacylglycerol--inositol 3-phosphatidyltransferase"
"2.7.8.12","Teichoic acid poly(glycerol phosphate) polymerase"
"2.7.8.13","Phospho-N-acetylmuramoyl-pentapeptide-transferase"
"2.7.8.14","CDP-ribitol ribitolphosphotransferase"
"2.7.8.15","N-acetylglucosaminephosphotransferase"
"2.7.8.20","Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase"
"2.7.8.24","Phosphatidylcholine synthase"
"2.7.8.26","Adenosylcobinamide-GDP ribazoletransferase"
"2.7.8.28","Phosphoenolpyruvate transferase"
"2.7.8.31","Undecaprenyl-phosphate glucose phosphotransferase"
"2.7.8.33","N-acetylglucosaminephosphotransferase"
"2.7.8.34","CDP-L-myo-inositol myo-inositolphosphotransferase"
"2.7.8.35","N-acetylglucosaminephosphotransferase"
"2.7.8.36","transferase"
"2.7.8.37","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase"
"2.7.8.38","Archaetidylserine synthase"
"2.7.8.39","Archaetidylinositol phosphate synthase"
"2.7.8.40","N-acetylgalactosaminephosphotransferase"
"2.7.8.41","Cardiolipin synthase (CMP-forming)"
"2.7.8.42","Kdo(2)-lipid A phosphoethanolamine 7''-transferase"
"2.7.8.43","Lipid A phosphoethanolamine transferase"
"2.7.8.44","Teichoic acid glycerol-phosphate primase"
"2.7.8.45","Teichoic acid glycerol-phosphate transferase"
"2.7.8.46","Teichoic acid ribitol-phosphate primase"
"2.7.8.47","Teichoic acid ribitol-phosphate polymerase"
"2.7.8.5","CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase"
"2.7.8.6","Undecaprenyl-phosphate galactose phosphotransferase"
"2.7.8.7","Holo-[acyl-carrier-protein] synthase"
"2.7.8.8","CDP-diacylglycerol--serine O-phosphatidyltransferase"
"2.7.9.1","Pyruvate, phosphate dikinase"
"2.7.9.2","Pyruvate, water dikinase"
"2.7.9.3","Selenide, water dikinase"
"2.7.9.4","Alpha-glucan, water dikinase"
"2.7.9.5","Phosphoglucan, water dikinase"
"2.8.1.1","Thiosulfate sulfurtransferase"
"2.8.1.10","Thiazole synthase"
"2.8.1.11","Molybdopterin synthase sulfurtransferase"
"2.8.1.12","Molybdopterin synthase"
"2.8.1.13","tRNA-uridine 2-sulfurtransferase"
"2.8.1.15","tRNA-5-methyluridine(54) 2-sulfurtransferase"
"2.8.1.2","3-mercaptopyruvate sulfurtransferase"
"2.8.1.4","tRNA uracil 4-sulfurtransferase"
"2.8.1.6","Biotin synthase"
"2.8.1.7","Cysteine desulfurase"
"2.8.1.8","Lipoyl synthase"
"2.8.2.1","Aryl sulfotransferase"
"2.8.2.14","Bile-salt sulfotransferase"
"2.8.2.2","Alcohol sulfotransferase"
"2.8.2.22","Aryl-sulfate sulfotransferase"
"2.8.2.24","Aromatic desulfoglucosinolate sulfotransferase"
"2.8.2.3","Amine sulfotransferase"
"2.8.2.37","Trehalose 2-sulfotransferase"
"2.8.2.38","Aliphatic desulfoglucosinolate sulfotransferase"
"2.8.2.4","Estrone sulfotransferase"
"2.8.3.1","Propionate CoA-transferase"
"2.8.3.10","Citrate CoA-transferase"
"2.8.3.12","Glutaconate CoA-transferase"
"2.8.3.13","Succinate--hydroxymethylglutarate CoA-transferase"
"2.8.3.15","Succinyl-CoA:(R)-benzylsuccinate CoA-transferase"
"2.8.3.16","Formyl-CoA transferase"
"2.8.3.18","Succinyl-CoA:acetate CoA-transferase"
"2.8.3.19","CoA:oxalate CoA-transferase"
"2.8.3.20","Succinyl-CoA--D-citramalate CoA-transferase"
"2.8.3.21","L-carnitine CoA-transferase"
"2.8.3.22","Succinyl-CoA--L-malate CoA-transferase"
"2.8.3.24","(R)-2-hydroxy-4-methylpentanoate CoA-transferase"
"2.8.3.5","3-oxoacid CoA-transferase"
"2.8.3.6","3-oxoadipate CoA-transferase"
"2.8.3.8","Acetate CoA-transferase"
"2.8.3.9","Butyrate--acetoacetate CoA-transferase"
"2.8.4.1","Coenzyme-B sulfoethylthiotransferase"
"2.8.4.2","Arsenate-mycothiol transferase"
"2.8.4.3","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase"
"2.8.4.4","[Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase"
"2.8.4.5","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase"
"2.9.1.1","L-seryl-tRNA(Sec) selenium transferase"
"2.9.1.2","O-phospho-L-seryl-tRNA(Sec):L-selenocysteinyl-tRNA synthase"
"3.1.1.1","Carboxylesterase"
"3.1.1.100","Chlorophyllide a hydrolase"
"3.1.1.101","Poly(ethylene terephthalate) hydrolase"
"3.1.1.102","Mono(ethylene terephthalate) hydrolase"
"3.1.1.11","Pectinesterase"
"3.1.1.15","L-arabinonolactonase"
"3.1.1.17","Gluconolactonase"
"3.1.1.2","Arylesterase"
"3.1.1.22","Hydroxybutyrate-dimer hydrolase"
"3.1.1.23","Acylglycerol lipase"
"3.1.1.24","3-oxoadipate enol-lactonase"
"3.1.1.27","4-pyridoxolactonase"
"3.1.1.29","Aminoacyl-tRNA hydrolase"
"3.1.1.3","Triacylglycerol lipase"
"3.1.1.31","6-phosphogluconolactonase"
"3.1.1.32","Phospholipase A(1)"
"3.1.1.4","Phospholipase A(2)"
"3.1.1.41","Cephalosporin-C deacetylase"
"3.1.1.45","Carboxymethylenebutenolidase"
"3.1.1.47","1-alkyl-2-acetylglycerophosphocholine esterase"
"3.1.1.5","Lysophospholipase"
"3.1.1.53","Sialate O-acetylesterase"
"3.1.1.57","2-pyrone-4,6-dicarboxylate lactonase"
"3.1.1.61","Protein-glutamate methylesterase"
"3.1.1.7","Acetylcholinesterase"
"3.1.1.72","Acetylxylan esterase"
"3.1.1.74","Cutinase"
"3.1.1.75","Poly(3-hydroxybutyrate) depolymerase"
"3.1.1.76","Poly(3-hydroxyoctanoate) depolymerase"
"3.1.1.8","Cholinesterase"
"3.1.1.80","Acetylajmaline esterase"
"3.1.1.81","Quorum-quenching N-acyl-homoserine lactonase"
"3.1.1.83","Monoterpene epsilon-lactone hydrolase"
"3.1.1.85","Pimeloyl-[acyl-carrier protein] methyl ester esterase"
"3.1.1.88","Pyrethroid hydrolase"
"3.1.1.93","Mycophenolic acid acyl-glucuronide esterase"
"3.1.1.96","D-aminoacyl-tRNA deacylase"
"3.1.1.98","[Wnt protein] O-palmitoleoyl-L-serine hydrolase"
"3.1.11.1","Exodeoxyribonuclease I"
"3.1.11.2","Exodeoxyribonuclease III"
"3.1.11.5","Exodeoxyribonuclease V"
"3.1.11.6","Exodeoxyribonuclease VII"
"3.1.12.1","5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)"
"3.1.13.1","Exoribonuclease II"
"3.1.13.3","Oligonucleotidase"
"3.1.13.4","Poly(A)-specific ribonuclease"
"3.1.13.5","Ribonuclease D"
"3.1.2.1","Acetyl-CoA hydrolase"
"3.1.2.12","S-formylglutathione hydrolase"
"3.1.2.20","Acyl-CoA hydrolase"
"3.1.2.21","Dodecanoyl-[acyl-carrier-protein] hydrolase"
"3.1.2.23","4-hydroxybenzoyl-CoA thioesterase"
"3.1.2.25","Phenylacetyl-CoA hydrolase"
"3.1.2.28","1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
"3.1.2.29","Fluoroacetyl-CoA thioesterase"
"3.1.2.30","(3S)-malyl-CoA thioesterase"
"3.1.2.32","2-aminobenzoylacetyl-CoA thioesterase"
"3.1.2.4","3-hydroxyisobutyryl-CoA hydrolase"
"3.1.2.6","Hydroxyacylglutathione hydrolase"
"3.1.21.1","Deoxyribonuclease I"
"3.1.21.2","Deoxyribonuclease IV"
"3.1.21.3","Type I site-specific deoxyribonuclease"
"3.1.21.4","Type II site-specific deoxyribonuclease"
"3.1.21.5","Type III site-specific deoxyribonuclease"
"3.1.21.7","Deoxyribonuclease V"
"3.1.22.1","Deoxyribonuclease II"
"3.1.22.4","Crossover junction endodeoxyribonuclease"
"3.1.25.1","Deoxyribonuclease (pyrimidine dimer)"
"3.1.26.11","Ribonuclease Z"
"3.1.26.12","Ribonuclease E"
"3.1.26.3","Ribonuclease III"
"3.1.26.4","Ribonuclease H"
"3.1.26.5","Ribonuclease P"
"3.1.26.8","Ribonuclease M5"
"3.1.27.1","Transferred entry 4.6.1.19"
"3.1.27.3","Ribonuclease T(1)"
"3.1.27.6","Transferred entry 4.6.1.21"
"3.1.3.1","Alkaline phosphatase"
"3.1.3.10","Glucose-1-phosphatase"
"3.1.3.100","Thiamine phosphate phosphatase"
"3.1.3.102","FMN hydrolase"
"3.1.3.103","3-deoxy-D-glycero-D-galacto-nonulopyranosonate 9-phosphatase"
"3.1.3.104","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase"
"3.1.3.105","N-acetyl-D-muramate 6-phosphate phosphatase"
"3.1.3.11","Fructose-bisphosphatase"
"3.1.3.12","Trehalose-phosphatase"
"3.1.3.15","Histidinol-phosphatase"
"3.1.3.16","Protein-serine/threonine phosphatase"
"3.1.3.18","Phosphoglycolate phosphatase"
"3.1.3.2","Acid phosphatase"
"3.1.3.23","Sugar-phosphatase"
"3.1.3.24","Sucrose-phosphate phosphatase"
"3.1.3.25","Inositol-phosphate phosphatase"
"3.1.3.26","4-phytase"
"3.1.3.27","Phosphatidylglycerophosphatase"
"3.1.3.3","Phosphoserine phosphatase"
"3.1.3.32","Polynucleotide 3'-phosphatase"
"3.1.3.37","Sedoheptulose-bisphosphatase"
"3.1.3.39","Streptomycin-6-phosphatase"
"3.1.3.4","Phosphatidate phosphatase"
"3.1.3.41","4-nitrophenylphosphatase"
"3.1.3.45","3-deoxy-manno-octulosonate-8-phosphatase"
"3.1.3.46","Fructose-2,6-bisphosphate 2-phosphatase"
"3.1.3.48","Protein-tyrosine-phosphatase"
"3.1.3.5","5'-nucleotidase"
"3.1.3.6","3'-nucleotidase"
"3.1.3.64","Phosphatidylinositol-3-phosphatase"
"3.1.3.69","Glucosylglycerol 3-phosphatase"
"3.1.3.7","3'(2'),5'-bisphosphate nucleotidase"
"3.1.3.70","Mannosyl-3-phosphoglycerate phosphatase"
"3.1.3.71","2-phosphosulfolactate phosphatase"
"3.1.3.73","Adenosylcobalamin/alpha-ribazole phosphatase"
"3.1.3.77","Acireductone synthase"
"3.1.3.78","Phosphatidylinositol-4,5-bisphosphate 4-phosphatase"
"3.1.3.79","Mannosylfructose-phosphate phosphatase"
"3.1.3.8","3-phytase"
"3.1.3.81","Diacylglycerol diphosphate phosphatase"
"3.1.3.82","D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
"3.1.3.83","D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
"3.1.3.85","Glucosyl-3-phosphoglycerate phosphatase"
"3.1.3.87","2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase"
"3.1.3.89","5'-deoxynucleotidase"
"3.1.3.90","Maltose 6'-phosphate phosphatase"
"3.1.3.92","Kanosamine-6-phosphate phosphatase"
"3.1.3.93","L-galactose 1-phosphate phosphatase"
"3.1.3.96","Pseudouridine 5'-phosphatase"
"3.1.3.97","3',5'-nucleoside bisphosphate phosphatase"
"3.1.30.1","Aspergillus nuclease S(1)"
"3.1.31.1","Micrococcal nuclease"
"3.1.4.1","Phosphodiesterase I"
"3.1.4.12","Sphingomyelin phosphodiesterase"
"3.1.4.14","[Acyl-carrier-protein] phosphodiesterase"
"3.1.4.16","2',3'-cyclic-nucleotide 2'-phosphodiesterase"
"3.1.4.17","3',5'-cyclic-nucleotide phosphodiesterase"
"3.1.4.3","Phospholipase C"
"3.1.4.37","2',3'-cyclic-nucleotide 3'-phosphodiesterase"
"3.1.4.4","Phospholipase D"
"3.1.4.43","Glycerophosphoinositol inositolphosphodiesterase"
"3.1.4.46","Glycerophosphodiester phosphodiesterase"
"3.1.4.50","Glycosylphosphatidylinositol phospholipase D"
